"","pais","code","2018"
"198","Puerto Rico","PRI",360.017361894025
"199","Qatar","QAT",239.593195521103
"200","Romania","ROU",84.633801286509
"201","Russian Federation","RUS",8.82206795315588
"202","Rwanda","RWA",498.659870287799
"203","Samoa","WSM",69.3038869257951
"204","San Marino","SMR",563.083333333333
"205","Sao Tome and Principe","STP",219.820833333333
"206","Saudi Arabia","SAU",15.6766543082956
"207","Senegal","SEN",82.3474783150678
"208","Serbia","SRB",79.8376857992225
"209","Seychelles","SYC",210.352173913043
"210","Sierra Leone","SLE",105.987170961485
"211","Singapore","SGP",7952.9984184018
"212","Sint Maarten (Dutch part)","SXM",NA
"213","Slovak Republic","SVK",113.285586522463
"214","Slovenia","SVN",102.96366052404
"216","Solomon Islands","SLB",23.324687388353
"217","Somalia","SOM",23.9234769024771
"218","South Africa","ZAF",47.6301197767684
"221","South Sudan","SSD",NA
"222","Spain","ESP",93.6771974435832
"223","Sri Lanka","LKA",345.558922022006
"224","St. Kitts and Nevis","KNA",201.696153846154
"225","St. Lucia","LCA",298.17868852459
"226","St. Martin (French part)","MAF",NA
"227","St. Vincent and the Grenadines","VCT",282.589743589744
"231","Sudan","SDN",NA
"232","Suriname","SUR",3.69225
"233","Sweden","SWE",24.9814981218237
"234","Switzerland","CHE",215.465350480429
"235","Syrian Arab Republic","SYR",92.0671077710614
"236","Tajikistan","TJK",65.5727141724908
"237","Tanzania","TZA",63.5790787988259
"238","Thailand","THA",135.897206835131
"239","Timor-Leste","TLS",85.270477471419
"240","Togo","TGO",145.046773303916
"241","Tonga","TON",143.329166666667
"242","Trinidad and Tobago","TTO",270.927485380117
"243","Tunisia","TUN",74.4413233779609
"244","Turkey","TUR",106.960128893104
"245","Turkmenistan","TKM",12.4505947694337
"246","Turks and Caicos Islands","TCA",39.6473684210526
"247","Tuvalu","TUV",383.6
"248","Uganda","UGA",213.061734490325
"249","Ukraine","UKR",77.0296708039151
"250","United Arab Emirates","ARE",135.609110109828
"251","United Kingdom","GBR",274.708981936924
"252","United States","USA",35.7136220923495
"254","Uruguay","URY",19.7080276539824
"255","Uzbekistan","UZB",77.4708509637988
"256","Vanuatu","VUT",24.0098441345365
"257","Venezuela, RB","VEN",32.7307919052208
"258","Vietnam","VNM",308.125245912213
"259","Virgin Islands (U.S.)","VIR",305.648571428571
"260","West Bank and Gaza","PSE",758.984551495017
"262","Yemen, Rep.","YEM",53.9778529083092
"263","Zambia","ZMB",23.3414789007116
"264","Zimbabwe","ZWE",37.3245909267158
